지역,매장명,매장현황,주소,서비스,전화번호,전처리_주소,위도,경도
서울 금천구,가산점,영업중,"서울특별시 금천구 가산디지털2로 165 (가산동, 백상스타타워2차) . ",주차,02-862-7940,서울특별시 금천구 가산디지털2로 165,37.482433636,126.877463383
경기 김포시,김포지식산업센터점,영업중,"경기도 김포시 태장로 795번길 145, 아셈호텔 1층 1층",주차,070-4953-9475,경기도 김포시 태장로 795번길 145,37.638684859,126.683547933
경기 군포시,군포IT밸리점,영업중,"경기도 군포시 고산로148번길 17 (당정동, 군포IT밸리) 1층 (주말 휴점)",주차,031-8086-8211,경기도 군포시 고산로148번길 17,37.349660176,126.953384820
경남 진주시,진주혁신도시점,영업중,경상남도 진주시 에나로128번길 24 (충무공동) .,주차,070-7543-2274,경상남도 진주시 에나로128번길 24,35.175794475,128.144054989
전남 광양시,광양중동점,영업중,전라남도 광양시 공영로 92-1 (중동) .,주차,061-795-6600,전라남도 광양시 공영로 92-1,34.935654949,127.699252914
대구 달서구,대구이월드점,영업중,대구광역시 달서구 두류공원로 200 (두류동) . ,주차,053-620-0001,대구광역시 달서구 두류공원로 200,35.852642968,128.563934715
대전 유성구,대전문지점,영업중,대전광역시 유성구 문지로299번길 94-19 (문지동) 1층,주차,042-861-6947,대전광역시 유성구 문지로299번길 94-19,36.394052678,127.406355832
대구 수성구,대구범어천로점,영업중,"대구광역시 수성구 범어천로 200 (범어동, 범어월드메르디앙웨스턴카운티) 102호,201호",테라스 흡연시설 주차,053-759-5779,대구광역시 수성구 범어천로 200,35.863849063,128.619828871
서울 강서구,마곡나인스퀘어점,영업중,"서울특별시 강서구 공항대로 206 (마곡동, 나인스퀘어) 마곡동 800, 101,102,103호",주차,02-2664-7876,서울특별시 강서구 공항대로 206,37.558864549,126.830249135
전북 전주시 덕진구,전주아중점,영업중,"전라북도 전주시 덕진구 아중로 193 (우아동2가) 1,2층 ",주차,063-246-2203,전라북도 전주시 덕진구 아중로 193,35.827801005,127.170365201
충북 청주시 상당구,청주명암레이크점,영업중,충북 청주시 상당구 용담동 449  .,주차,0507-1384-9696,충북 청주시 상당구 용담동 449,0,0
인천 중구,인천공항T1점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 L/S 1층",주차,032-743-3716,인천광역시 중구 공항로 272,37.478887958,126.452742208
서울 강북구,수유사거리점,영업중,서울특별시 강북구 도봉로82길 11 (번동) 2~4층 ,,070-5226-1999,서울특별시 강북구 도봉로82길 11,37.635894270,127.024388648
서울 중구,명동퍼시픽호텔점,영업중,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층 ",흡연시설 주차,02-3789-8747,서울특별시 중구 퇴계로20길 2,37.559665551,126.985421476
충남 천안시 서북구,천안펜타포트점,영업중,"충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트) 5층",,070-8820-3117,충청남도 천안시 서북구 공원로 196,36.798639889,127.101418567
서울 송파구,아시아선수촌점,영업중,서울특별시 송파구 백제고분로 109 (잠실동) 1층~4층,24시간 흡연시설 주차,02-412-3260,서울특별시 송파구 백제고분로 109,37.507041759,127.079767859
서울 동작구,보라매병원점,영업중,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,주차,02-831-3085,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,37.493568449,126.924053131
광주 광산구,광주수완2호점,영업중,"광주광역시 광산구 수완로 73번길 7, 1층 (수완동)  1층",주차,062-959-3327,광주광역시 광산구 수완로 73번길 7,35.191972901,126.828216403
경기 수원시 영통구,수원망포점,영업중,"경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 125,126,127,212호 (영통동)",주차,031-204-0065,경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 125,37.245273422,127.059180106
세종 세종시,세종어반아트리움점,영업중,"세종특별자치시 나성로 96 (나성동, 더센트럴) 101,102호",,070-8800-3998,세종특별자치시 나성로 96,36.487800402,127.261023340
서울 서대문구,무악재역점,영업중,"서울특별시 서대문구 통일로 360 (홍제동, 보하빌딩) .",,02-6406-0046,서울특별시 서대문구 통일로 360,37.582589359,126.950523800
대전 대덕구,대전한남대점,영업중,대전 대덕구 한남로 65 .,,070-4109-5800,대전 대덕구 한남로 65,36.351416713,127.420742354
경기 이천시,(하)마장휴게소점,영업중,경기도 이천시 마장면중부고속도로82 마장휴게소 하행 통영방향,,없음,경기도 이천시 마장면중부고속도로82 마장휴게소 하행 통영방향,0,0
경기 오산시,오산수청점,영업중,"경기도 오산시 내삼미로79번길 46 (수청동) 101~104호 (수청동, 어반스페이스타워)",,031-377-5823,경기도 오산시 내삼미로79번길 46,37.170236747,127.065277377
경기 부천시 원미구,부천송내본점,영업중,"경기도 부천시 송내대로73번길 21 (상동, 정원빌딩) 1층",테라스 흡연시설,032-321-2007,경기도 부천시 송내대로73번길 21,37.490211627,126.752906822
서울 마포구,공덕점,영업중,"서울특별시 마포구  마포대로 143 (공덕동, 마포공덕파크팰리스 Ⅱ) 1층 (114~121호)",주차,02-701-5785,서울특별시 마포구  마포대로 143,37.547453112,126.953100863
충남 예산군,(상)예산휴게소점,영업중,충청남도 예산군 신양면 당진영덕고속도로 33 (예산휴게소 상행) 당진 방향,,없음,충청남도 예산군 신양면 당진영덕고속도로 33,36.619635883,126.846576185
서울 중구,약수역점,영업중,"서울특별시 중구 다산로 114 (신당동,1~2층)",테라스 주차,02-2233-0866,서울특별시 중구 다산로 114,37.553966485,127.010425590
대구 달서구,대구성서점,영업중,"대구광역시 달서구 성서로 419, 국민연금대구사옥 1층 (이곡동 1198-5) 할리스",주차,053-584-5702,대구광역시 달서구 성서로 419,35.855085732,128.506662147
부산 사하구,부산아트몰링영풍문고점,영업중,"부산광역시 사하구 낙동남로 1413 (하단동, 아트몰링) 13층",주차,051-201-0621,부산광역시 사하구 낙동남로 1413,0,0
경기 화성시,동탄점,영업중,"경기도 화성시 동탄중심상가1길 5 (반송동, 동탄프라자) 1,2층",주차,031-8003-9039,경기도 화성시 동탄중심상가1길 5,37.200506050,127.071757017
울산 남구,울산야음점,영업중,"울산 남구 수암로 138, 타임스퀘어 상가 야음동 789-14, 101호",,052-276-3535,울산 남구 수암로 138,35.526969688,129.321906512
서울 마포구,홍대역점,영업중,서울특별시 마포구 어울마당로 111 (동교동) 2층,테라스 흡연시설,02-323-7791,서울특별시 마포구 어울마당로 111,37.554844130,126.922753981
경기 양주시,양주테크노점,영업중,경기도 양주시 광적면 부흥로 847 (양주테크노시티) .,테라스 주차,031-830-1700,경기도 양주시 광적면 부흥로 847,37.816625422,126.988038610
서울 성북구,고대안암병원점,영업중,"서울특별시 성북구 고려대로 73 (안암동5가, 고려대병원) 고대안암병원 본관 3층 ",주차,02-921-3062,서울특별시 성북구 고려대로 73,37.586855236,127.028135554
서울 서대문구,신촌연세로점,영업중,"서울특별시 서대문구 연세로 5, 1층 (창천동 30-7) 할리스",,02-322-3684,서울특별시 서대문구 연세로 5,37.556151828,126.936587939
경기 용인시 처인구,용인명지대점,영업중,경기도 용인시 처인구 명지로116번길 24-2 (남동) 1~2층,,070-4042-3118,경기도 용인시 처인구 명지로116번길 24-2,37.224919277,127.186622865
서울 용산구,용산아이파크몰 영풍문고점,영업중,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역 리빙관 3층(한강로 3가)",주차,070-8835-5073,서울특별시 용산구 한강대로23길 55,37.529839228,126.964860965
경기 고양시 일산동구,BMC점,영업중,경기도 고양시 일산동구 동국로 32 (식사동) 산학협력관 1층,,031-961-5692,경기도 고양시 일산동구 동국로 32,37.677286252,126.807624801
전북 전주시 덕진구,국민연금공단점,영업중,전북 전주시 덕진구  기지로 170 국민연금공단 국민누리관 1층,,063-221-5072,전북 전주시 덕진구  기지로 170 국민연금공단 국민누리관 1층,35.837280136,127.069815755
부산 금정구,부산금강식물원점,영업중,"부산광역시 금정구 금샘로 22 (장전동) 1,2층 금정구 장전동 521-68외1필지 1,2층",테라스,051-517-1110,부산광역시 금정구 금샘로 22,35.227940680,129.077985044
서울 영등포구,선유도역점TS카페,영업중,"서울특별시 영등포구 양평로 96 (양평동4가) TS빌딩 1,2층",주차,02-6267-6800,서울특별시 영등포구 양평로 96,37.536695001,126.896768613
서울 구로구,구로역점,영업중,서울특별시 구로구 새말로 18-29 (구로동) .,,02-862-3216,서울특별시 구로구 새말로 18-29,37.501803617,126.883209947
경기 포천시,포천송우점,영업중,"경기도 포천시 소흘읍 호국로 513 이동교리 149-22, 1층",주차,031-541-5130,경기도 포천시 소흘읍 호국로 513 이동교리 149-22,0,0
서울 종로구,할리스커피(본사),영업중,"서울특별시 종로구 율곡로 88 (운니동, 삼환빌딩) 8층",,0221887100,서울특별시 종로구 율곡로 88,37.576807934,126.988923921
서울 마포구,공덕역북카페점,영업중,"서울특별시 마포구 마포대로 100 (공덕동, 공덕역) 북카페 지하1층",,없음,서울특별시 마포구 마포대로 100,37.544789568,126.951556522
전북 부안군,부안격포채석강점,영업중,전라북도 부안군 변산면 채석강길 22-10 .,테라스 주차,063-584-0011,전라북도 부안군 변산면 채석강길 22-10,35.628778932,126.471065654
대구 북구,대구관음점,영업중,"대구광역시 북구 구암로 59 비전스퀘어 1,2층 .",24시간 주차,053-324-6122,대구광역시 북구 구암로 59 비전스퀘어 1,35.933479053,128.547368509
대전 서구,대전가장점,영업중,"대전광역시 서구 도솔로 314  1층, 2층(괴정동, SL 빌딩)",주차,042-365-0365,대전광역시 서구 도솔로 314  1층,36.336186392,127.382619299
대전 유성구,대전신성점,영업중,대전광역시 유성구 유성대로1184번길 18 (신성동) .,흡연시설 주차,042-862-3335,대전광역시 유성구 유성대로1184번길 18,36.393357904,127.352555001
인천 중구,영종운서점,영업중,"인천광역시 중구 영종대로 190 (운서동, 더예스스카이) .",,032-746-1210,인천광역시 중구 영종대로 190,37.492046929,126.499223450
서울 성동구,왕십리역점,영업중,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플렉스몰 3층 영풍문고 내",,02-2200-1303,서울특별시 성동구 왕십리광장로 17,37.561467686,127.038344508
충남 천안시 서북구,천안쌍용점,영업중,충청남도 천안시 서북구 미라13길 16 (쌍용동) 성건오피스텔 1층,주차,041-563-4700,충청남도 천안시 서북구 미라13길 16,36.805170403,127.130396629
서울 강동구,천호로데오점,영업중,"서울특별시 강동구 올림픽로70길 61 (천호동, 두산위브센티움) 1층",24시간,02-6425-5147,서울특별시 강동구 올림픽로70길 61,37.539319487,127.126989727
서울 영등포구,전경련회관점,영업중,"서울특별시 영등포구 여의대로 24 (여의도동, 전국경제인연합회회관) 지하 1층 B109~111호 ",주차,02-786-3485,서울특별시 영등포구 여의대로 24,37.521693217,126.920045279
부산 중구,부산중앙역점,영업중,부산광역시 중구 대청로 148 (중앙동2가) .,,051-253-8883,부산광역시 중구 대청로 148,35.102761041,129.036066874
경남 양산시,양산부산대병원치과동점,영업중,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 치과병동 1층(범어리 2762-1) 할리스",,070-4442-0608,경상남도 양산시 물금읍 금오로 20,35.328291391,129.005067778
경남 양산시,양산부산대병원본점,영업중,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층(범어리 2762-1) 할리스",,055-362-4582,경상남도 양산시 물금읍 금오로 20,35.328291391,129.005067778
경기 하남시,하남덕풍점,영업중,경기도 하남시 덕풍북로 2 (덕풍동) 1층,,031-792-9389,경기도 하남시 덕풍북로 2,37.546498026,127.198424921
부산 사상구,부산백양대로점,영업중,"부산광역시 사상구 백양대로 621, 2~4층(괘법동 141) 할리스",주차,051-311-5399,부산광역시 사상구 백양대로 621,35.162934769,128.990466971
인천 남동구,간석오거리점,영업중,인천광역시 남동구 남동대로 931 (간석동) .,,032-425-0915,인천광역시 남동구 남동대로 931,37.465505327,126.707502540
서울 성동구,한양대병원점,영업중,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 본관 1층 (사근동 110, 한양대학부속병원) 할리스",주차,02-2281-2116,서울특별시 성동구 왕십리로 222-1,37.559632815,127.043742911
서울 서초구,서초마제스타시티점,영업중,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티,힐스테이트서리풀) 1층",주차,02-6411-0063,서울특별시 서초구 서초대로38길 12,37.490469547,127.005356587
강원 강릉시,(인)강릉휴게소점,영업중,강원도 강릉시 성산면 보광리 103 .,주차,.,강원도 강릉시 성산면 보광리 103,0,0
경기 시흥시,월곶점,영업중,경기도 시흥시 월곶중앙로 63 (월곶동) .,주차,031-404-7966,경기도 시흥시 월곶중앙로 63,37.388760344,126.738056995
대전 서구,대전만년점,영업중,"대전광역시 서구 둔산대로117번길 95 (만년동, 리더스타운) .",,042-485-9777,대전광역시 서구 둔산대로117번길 95,36.369319861,127.381750832
경북 구미시,(하)선산휴게소점,영업중,경상북도 구미시 옥성면 중부내륙고속도로 129 .,주차,.,경상북도 구미시 옥성면 중부내륙고속도로 129,36.274584268,128.250425496
경기 화성시,화성융건릉점,영업중,"경기도 화성시 효행로 501-3 1,2층",주차,031-224-6999,경기도 화성시 효행로 501-3 1,37.207521969,126.988431051
경기 양주시,양주옥정점,영업중,경기도 양주시 옥정로 218 (옥정동) .,테라스 주차,070-7576-2918,경기도 양주시 옥정로 218,37.821033101,127.092146747
대전 서구,대전탄방점,영업중,"대전광역시 서구 계룡로571번길 23-19 (탄방동) 1층 102호,103호,104호",주차,042-482-8425,대전광역시 서구 계룡로571번길 23-19,36.343443148,127.386244298
전북 전주시 완산구,서전주DT점,영업중,전라북도 전주시 완산구 유연로 5 (효자동3가 1045-50) ,DT 매장 주차,063-901-0802,전라북도 전주시 완산구 유연로 5,35.822453946,127.085818711
경기 김포시,김포한강생태공원점,영업중,경기도 김포시 김포한강11로 452 (운양동) 1~2층,흡연시설 주차,031-996-2000,경기도 김포시 김포한강11로 452,37.653707149,126.698262526
인천 중구,영종덕교점,영업중,"인천광역시 중구 잠진도길 55 (덕교동) 1,2,3층",테라스,032-751-3264,인천광역시 중구 잠진도길 55,37.421866906,126.420409545
부산 동래구,부산명륜역점,영업중,부산광역시 동래구 온천장로 5 (온천동) 1층,,051-557-7811,부산광역시 동래구 온천장로 5,35.212756545,129.078708316
경남 진주시,진주평거점,영업중,"경상남도 진주시 진양호로 46 (평거동) 1층,2층 (에스원빌딩)",테라스 주차,055-745-9633,경상남도 진주시 진양호로 46,35.167018907,128.044874574
경기 수원시 영통구,아주대병원점,영업중,"경기도 수원시 영통구 월드컵로 164 (원천동, 아주대학병원) 아주대학교병원 본관 1층",주차,031-211-5718,경기도 수원시 영통구 월드컵로 164,37.278951436,127.047467391
강원 홍천군,(상)홍천휴게소점,영업중,강원 홍천군 화촌면 서울양양고속도로 83 .,주차,033-436-9000,강원 홍천군 화촌면 서울양양고속도로 83,37.758983591,128.006513814
대구 수성구,대구수성못점,영업중,대구광역시 수성구 용학로 115 (두산동) .,테라스 주차,053-761-5655,대구광역시 수성구 용학로 115,35.825102587,128.622576371
울산 남구,울산시청점,영업중,울산광역시 남구 삼산로 60 (신정동) 1층,테라스 24시간 주차,070-7733-7108,울산광역시 남구 삼산로 60,35.533693973,129.314169425
충남 천안시 동남구,천안신부점,영업중,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 4,5층",흡연시설,041-566-5085,충청남도 천안시 동남구 만남로 26,36.818494090,127.155011450
대구 동구,동대구역사점,영업중,대구광역시 동구 동대구로 550 (동대구역 내 1층),,053-942-1033,대구광역시 동구 동대구로 550,35.879494199,128.628741351
서울 종로구,종로5가점,영업중,서울 종로구 동호로 401(종로5가) .,,02-2266-1989,서울 종로구 동호로 401,37.570196908,127.001666553
부산 북구,부산덕천점,영업중,"부산광역시 북구 덕천1길 21, 1~2층 (덕천동 400-14) 할리스",24시간 흡연시설,051-342-8835,부산광역시 북구 덕천1길 21,35.209934065,129.006764065
인천 부평구,부평로데오점,영업중,"인천광역시 부평구 시장로 17-1 (부평동, 인일 빌딩) 1,2,3층",24시간 흡연시설 주차,032-505-7130,인천광역시 부평구 시장로 17-1,37.492804497,126.724686261
충북 청주시 흥덕구,충북오송점,영업중,충청북도 청주시 흥덕구 오송읍 만수1길 3 .,,043-239-0075,충청북도 청주시 흥덕구 오송읍 만수1길 3,36.623051584,127.327203815
서울 영등포구,여의도파이낸스타워점,영업중,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층(여의도동 23-8)",주차,02-761-3154,서울특별시 영등포구 국제금융로2길 32,37.523880213,126.924126382
부산 서구,부산대학교병원2호점,영업중,부산광역시 서구 구덕로 179 C동 암센터 ..,,051-231-9475,부산광역시 서구 구덕로 179 C동 암센터,35.100120395,129.017896431
부산 서구,부산대학교병원1호점,영업중,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원) 1층",,051-231-9648,부산광역시 서구 구덕로 179,35.100827268,129.018905006
경기 김포시,김포농협본점,영업중,경기도 김포시 홍도평로 20 (걸포동) 김포농협하나로마트본점 2층 (일요일 휴점),주차,031-986-7932,경기도 김포시 홍도평로 20,37.631594305,126.713051202
경기 남양주시,다산지금점,영업중,경기도 남양주시 다산중앙로82번안길 143-15 101호,주차,070-7778-2409,경기도 남양주시 다산중앙로82번안길 143-15 101호,37.612809417,127.166762305
서울 종로구,서울대병원점,영업중,"서울특별시 종로구 대학로 101 (연건동, 서울대학교의과대학)",주차,02-741-5815,서울특별시 종로구 대학로 101,37.577839104,126.998028636
서울 강서구,가양점,영업중,"서울특별시 강서구 양천로 583 (염창동, 우림블루나인비즈니스센터) 1층 (토요일 휴점)",주차,02-2093-2977,서울특별시 강서구 양천로 583,37.557113328,126.864200027
서울 영등포구,구로디지털뉴스테이점,영업중,서울시 영등포구 시흥대로 595 105호,주차,070-7547-4100,서울시 영등포구 시흥대로 595 105호,37.486099974,126.903468291
경북 경주시,경주보불로점,영업중,경북 경주시 보불로 305 .,주차,054-744-7700,경북 경주시 보불로 305,35.810038635,129.306442581
울산 북구,울산명촌점,영업중,울산광역시 북구 명촌로 59 .,흡연시설,052-289-9905,울산광역시 북구 명촌로 59,35.554990649,129.357180801
충남 홍성군,충남도청점,영업중,충청남도 홍성군 홍북읍 신경리 553 .,주차,041-631-4725 ,충청남도 홍성군 홍북읍 신경리 553,0,0
전북 김제시,전북김제점,영업중,전북 김제시 검산택지 5길 21-10 1층,,063-547-9600,전북 김제시 검산택지 5길 21-10 1층,35.801687234,126.903926429
대구 북구,대구침산네거리점,영업중,대구광역시 북구 침산남로 157 (침산동) .,,053-353-5544,대구광역시 북구 침산남로 157,35.888155883,128.592988634
부산 동래구,부산명륜자이점,영업중,"부산광역시 동래구 동래로 77 (명륜동) 1,2층",테라스,051-554-1001,부산광역시 동래구 동래로 77,35.208606432,129.081485404
대전 동구,대전역점,영업중,"대전광역시 동구 중앙로 215 (정동, 대전역) 3층",주차,없음,대전광역시 동구 중앙로 215,36.329826539,127.434560304
서울 종로구,센터포인트점,영업중,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",,02-6031-6213,서울특별시 종로구 새문안로5길 31,37.572964451,126.974338865
서울 마포구,홍대입구역점,영업중,"서울특별시 마포구 양화로 151, 1층 (동교동 160-1) 할리스",,02-322-3584,서울특별시 마포구 양화로 151,37.556293082,126.922361415
경기 고양시 일산동구,마두역점,영업중,"경기도 고양시 일산동구 중앙로 1165, 1층일부 1층",흡연시설,070-8866-7558,경기도 고양시 일산동구 중앙로 1165,37.650820723,126.777937247
전북 군산시,군산미장점,영업중,전라북도 군산시 미장안길 54  .,,063-442-8777,전라북도 군산시 미장안길 54,35.968985495,126.726907089
서울 서초구,백석예술대학교점,영업중,"서울특별시 서초구 방배로9길 23 (방배동, 백석예술대학교) 3층",,02-585-9150,서울특별시 서초구 방배로9길 23,37.480202756,126.996291462
대전 중구,대전오류점,영업중,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 오류동 151-3",주차,042-522-3141,대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호,36.323187223,127.411048590
서울 강남구,카페테리아&삼성점,영업중,"서울시 강남구 삼성로 512, 10층 인터파크 카페테리아 (삼성동) .",,2188-7100,서울시 강남구 삼성로 512,37.508107446,127.056598198
서울 강남구,역삼테헤란점,영업중,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 1층 (역삼동 647-9) 할리스",테라스 흡연시설 주차,02-501-3573,서울특별시 강남구 테헤란로 131,37.500066200,127.032926912
대구 달성군,대구현풍테크노점,영업중,대구시 달성군 유가읍 테크노공원로 65 .,,053-267-3338,대구시 달성군 유가읍 테크노공원로 65,35.692041378,128.460125442
전남 장흥군,전남장흥점,영업중,전라남도 장흥군 장흥읍 북부로 18 .,,061-862-0119,전라남도 장흥군 장흥읍 북부로 18,34.683927106,126.904711289
대전 유성구,충남대점,영업중,대전광역시 유성구 대학로 84 (궁동 482-6) .,테라스,070-7543-1009,대전광역시 유성구 대학로 84,36.360851369,127.344693151
경기 화성시,화성병점점,영업중,"경기도 화성시 병점동로 105 1,2층(진안동)",주차,031-239-0455,경기도 화성시 병점동로 105 1,37.213174309,127.039518637
경기 구리시,구리수택점,영업중,경기도 구리시 검배로 73 (수택동) 할리스,주차,031-551-0988,경기도 구리시 검배로 73,37.596106475,127.146762667
서울 관악구,난곡사거리점,영업중,서울 관악구 남부순환로 1489 신림동 526-13,흡연시설 주차,02-865-0012,서울 관악구 남부순환로 1489 신림동 526-13,37.482422235,126.916180191
서울 양천구,신정네거리역점,영업중,서울시 양천구 중앙로 252 2층 .,,02-2645-9957,서울시 양천구 중앙로 252 2층,37.519070035,126.853683039
경북 구미시,구미CGV점,영업중,"경상북도 구미시 구미중앙로 44 (원평동, 멀티복합상가) 원평동 68-1, 1층",,054-604-0375,경상북도 구미시 구미중앙로 44,36.130033616,128.327671598
경기 부천시 원미구,역곡역점,영업중,경기 부천시 부일로726번길 5 (역곡동 80) 역곡역 2번출구 사거리에서 가톨릭대학교방향 좌회전 후 약 50M,흡연시설,070-8887-4965,경기 부천시 부일로726번길 5,37.485289567,126.810539268
경기 오산시,오산대역DT점,영업중,경기도 오산시 경기대로 491 (수청동) 1층~3층 할리스,DT 매장 테라스 주차,031-372-9750,경기도 오산시 경기대로 491,37.166585775,127.064206121
서울 중구,을지로입구점,영업중,서울특별시 중구 명동3길 23 (을지로2가) 1~4층 할리스 ,테라스,02-318-6381,서울특별시 중구 명동3길 23,37.564759182,126.983417811
경북 구미시,구미금오산점,영업중,경상북도 구미시 금오산로 209 (남통동) 할리스커피 구미금오산점 ,테라스 주차,054-441-4452,경상북도 구미시 금오산로 209,36.122041158,128.324031590
경기 화성시,(하)매송휴게소점,영업중,경기 화성시 매송면 서해안고속도로 315 목포방향 서해안고속도로 315 목포방향,24시간,없음,경기 화성시 매송면 서해안고속도로 315 목포방향 서해안고속도로 315 목포방향,0,0
경기 화성시,(상)매송휴게소점,영업중,경기 화성시 매송면 서해안고속도로 316 서울방향 .,24시간,없음,경기 화성시 매송면 서해안고속도로 316 서울방향,37.265318233,126.892894832
경남 창원시 의창구,창원팔용점,영업중,경상남도 창원시 의창구 창원대로18번길 6-8 (팔용동) .,테라스 흡연시설 주차,055-298-3434,경상남도 창원시 의창구 창원대로18번길 6-8,35.254318731,128.605605961
전북 전주시 완산구,전주남천교점,영업중,전라북도 전주시 완산구 전주천서로 81 (동서학동) .,,063-232-6000,전라북도 전주시 완산구 전주천서로 81,35.809884351,127.152411032
광주 북구,전남대상대점,영업중,광주광역시 북구 설죽로202번길 68  .,테라스,062-511-0389,광주광역시 북구 설죽로202번길 68,35.177015000,126.901262980
경기 용인시 수지구,수지동천갤러리점,영업중,"경기도 용인시 수지구 동천로192번길 4 (동천동) 1,2층 동천동 484-38번지",,031-2761-3600,경기도 용인시 수지구 동천로192번길 4,37.338691327,127.082878779
부산 연제구,부산연산점,영업중,부산광역시 연제구 반송로 89 (연산동) 1층,주차,051-989-3296,부산광역시 연제구 반송로 89,35.191508090,129.088268592
대구 북구,대구침산점,영업중,"대구 북구 성북로 36,2층 601,602,603,604 473-3, 침산초등학교 맞은편",,053-353-5412,대구 북구 성북로 36,35.890832281,128.587580332
대구 동구,대구안심점,영업중,대구시 동구 안심로 90길29 .,주차,053)552-2220,대구시 동구 안심로 90길29,35.869913780,128.710707938
강원 홍천군,(하)홍천휴게소점,영업중,강원 홍천군 화촌면 서울양양고속도로 84 .,,.,강원 홍천군 화촌면 서울양양고속도로 84,37.757276484,128.003193224
경기 화성시,동탄카림애비뉴점,영업중,경기도 화성시 동탄대로시범길 134 .,테라스 주차,031-372-1650,경기도 화성시 동탄대로시범길 134,37.199030670,127.113082366
경기 화성시,봉담원희캐슬점,영업중,경기도 화성시 봉담읍 동화길 51 (봉담읍) 1층,,031-5183-3817,경기도 화성시 봉담읍 동화길 51,37.219134381,126.955552042
대구 중구,대구동성로점,영업중,"대구광역시 중구 동성로6길 32, B1~2층 (공평동 52-2) 할리스",24시간,053-252-6307,대구광역시 중구 동성로6길 32,35.868723517,128.597080024
서울 은평구,응암역점,영업중,서울특별시 은평구 증산로 475 .,,02-3152-2910,서울특별시 은평구 증산로 475,37.598640453,126.915337936
경남 창원시 성산구,상남중앙점,영업중,경상남도 창원시 성산구 마디미로38번길 11 (상남동 25) 할리스,,055-261-5925,경상남도 창원시 성산구 마디미로38번길 11,35.221535175,128.682506957
인천 남구,인천주안역점,영업중,"인천광역시 미추홀구 주안로 105 1,2층 주안동 130-10",,032-425-1793,인천광역시 미추홀구 주안로 105 1,37.464233699,126.681336637
울산 남구,울산삼산대로점,영업중,울산광역시 남구 정동로 71 (삼산동) 삼산동,테라스 주차,052-293-2234,울산광역시 남구 정동로 71,35.540356812,129.343584085
경기 구리시,구리장자호수공원점,영업중,"경기도 구리시 장자대로 86번길 18 1,2층 (참참존빌딩)",테라스 주차,031-568-7232,경기도 구리시 장자대로 86번길 18 1,37.587132931,127.139408700
서울 서대문구,이대점,영업중,"서울특별시 서대문구 이화여대길 59 (대현동, 메르체쇼핑몰) 엘큐브 3층",흡연시설,02-392-1008,서울특별시 서대문구 이화여대길 59,37.558936038,126.945165544
제주 제주시,제주협재해변점,영업중,제주특별자치도 제주시 한림읍 한림로 330 협재리 2514-2번지,주차,064-796-1780,제주특별자치도 제주시 한림읍 한림로 330 협재리 2514-2번지,0,0
대구 동구,동대구환승센터점,영업중,"대구광역시 동구 동부로 149 (신천동, 신세계동대구복합환승센터) 3층",,053-742-0614,대구광역시 동구 동부로 149,35.877861466,128.629281664
광주 북구,광주문흥점,영업중,광주광역시 북구 서하로 373 (문흥동) 102호,,062-265-4931,광주광역시 북구 서하로 373,35.186110253,126.921287718
경기 수원시,수원경인일보점,영업중,경기도 수원시 팔달구 효원로 299 .,흡연시설 주차,031-226-0530,경기도 수원시 팔달구 효원로 299,37.261469658,127.034651366
부산 수영구,부산광안해변점,영업중,부산광역시 수영구 광안해변로 251 (민락동) 178-5,,051-752-4551,부산광역시 수영구 광안해변로 251,35.155260396,129.121367012
경기 파주시,파주야당역점,영업중,"경기도 파주시 경의로 1042 (야당동) 1,2층",주차,031 946 4823,경기도 파주시 경의로 1042,37.710461712,126.759826334
서울 양천구,목동예술인회관점,영업중,"서울시 양천구 목동서로 225, 예술인회관 1층 1층",24시간 주차,02-2655-1300,서울시 양천구 목동서로 225,37.527108270,126.870745408
서울 노원구,당고개역점,영업중,서울특별시 노원구 덕릉로126길 11 (상계동) .,주차,02-951-1029,서울특별시 노원구 덕릉로126길 11,37.670602140,127.081921088
